Sharhad Bashar
260519664
testing for 0<=n<50000000

n,       timeGenerateArray,  timeLinearSearch,  timeDuplicate,    timebubbleSort,   timeLibrary,   timeBinarySearch

10 ,           1212 ,              2 ,                1 ,               4 ,             235 ,            2
20 ,           11 ,                0 ,                0 ,               10 ,            5 ,              0
40 ,           20 ,                1 ,                1 ,               45 ,            17 ,             0 
80 ,           34 ,                2 ,                2 ,               205 ,           31 ,             1
160 ,          67 ,                4 ,                4 ,               3687 ,          72 ,             4
320 ,          139 ,               9 ,                8 ,               375 ,           244 ,            4
640 ,          254 ,               16 ,               15 ,              1125 ,          325 ,            7
1280 ,         525 ,               33 ,               30 ,              3210 ,          736 ,            17
2560 ,         1077 ,              79 ,               68 ,              12829 ,         1585 ,           31
5120 ,         2243 ,              164 ,              140 ,             55032 ,         5520 ,           118
10240 ,        984 ,               434 ,              427 ,             200916 ,        7753 ,           213
20480 ,        720 ,               17 ,               30 ,              798477 ,        2379 ,           317
40960 ,        588 ,               19 ,               51 ,              3217202 ,       5272 ,           19
81920 ,        1196 ,              40 ,               173 ,             12793613 ,      10902 ,          37
163840 ,       2504 ,              80 ,               380 ,             0 ,             23403 ,          72 <----------------Bubble sort becomes 0, since n > 100,000
327680 ,       5007 ,              246 ,              850 ,             0 ,             49076 ,          150
655360 ,       19210 ,             488 ,              1335 ,            0 ,             107033 ,         256
1310720 ,      19732 ,             1102 ,             11531 ,           0 ,             221644 ,         562
2621440 ,      55312 ,             2017 ,             11910 ,           0 ,             482082 ,         1140
5242880 ,      87916 ,             3960 ,             23357 ,           0 ,             1003792 ,        2029
10485760 ,     181361 ,            7973 ,             48616 ,           0 ,             2046284 ,        4055
20971520 ,     363097 ,            15586 ,            435495 ,          0 ,             4376303 ,        7989
41943040 ,     789360 ,            33433 ,            120156 ,          0 ,             9225153 ,        15868

Time taken to execute program: 67 milliseconds